title,imgURL,priceStr,price,beds
One Bedroom For Rent at The Lex - 1249 Granville Street,https://i.ebayimg.com/00/s/NzY4WDExNTA=/z/WGgAAOSwsAteFu03/$_35.JPG,"$2,072.00",2072,1
Well managed 1 bedroom at English Bay Tower available on Februar,https://i.ebayimg.com/00/s/NjcwWDEyMTA=/z/RqMAAOSwBq9eFuzu/$_35.JPG,"$1,780.00",1780,1
$1895 Furnished jr. 1 bedroom (all utilities / internet included,https://i.ebayimg.com/00/s/NTg4WDgwMA==/z/OLUAAOSwWWdeF0J7/$_35.JPG,"$1,895.00",1895,1
"1 Bed+1 Bath DT Apartment With Parking, Storage and Pets Allowed",https://i.ebayimg.com/00/s/ODAwWDYxNg==/z/HVIAAOSwIKVeFtoU/$_35.JPG,"$2,180.00",2180,1
1Bed 1 Bath 900 SF - NEW RENOVATED - Point Grey - 2 Stops To UBC,https://i.ebayimg.com/00/s/NTMzWDgwMA==/z/OiYAAOSwc2ZeFwu8/$_35.JPG,"$1,600.00",1600,1
Penthouse with A/C at Station Square- 2Bed and Den Unfurnished,https://i.ebayimg.com/00/s/NTMzWDgwMA==/z/iFAAAOSwW1NeFoa6/$_35.JPG,"$3,400.00",3400,2 + Den
Renovated 3 Bedroom Townhome for Rent - PET FRIENDLY!,https://i.ebayimg.com/00/s/MTA2MFgxNjAw/z/Y0YAAOSwqUld~PSl/$_35.JPG,"$3,774.00",3774,3
NEW 1 Bedroom Furnished  Luxury Condo for Rent  - $1788 p,https://i.ebayimg.com/00/s/NDUzWDgwMA==/z/5LwAAOSwyVdeFNNX/$_35.JPG,"$1,788.00",1788,1
NEWLY RENOVATED 3 BED FOR RENT - SPECIAL PRICING!,https://i.ebayimg.com/00/s/Nzk1WDEyMDA=/z/X-sAAOSwXiVd~PSe/$_35.JPG,"$4,104.00",4104,3
"1-BR Suite in Quiet, well-maintained Kitsilano heritage house",https://i.ebayimg.com/00/s/NDgwWDY0MA==/z/0csAAOSwevJeGOSj/$_35.JPG,"$1,560.00",1560,1
Fully furnished 1 bedroom apartment at UBC,https://i.ebayimg.com/00/s/NTk5WDgwMA==/z/DpwAAOSwOhxeGMzD/$_35.JPG,"$1,950.00",1950,1
Bright and Modern 2-Level Loft with 17-Foot Ceilings,https://i.ebayimg.com/00/s/NjAwWDgwMA==/z/dOgAAOSw7bZeGMQW/$_35.JPG,"$3,300.00",3300,1
Westsea Place  - (Westend)  Bachelor and 1  Bedroom Suites  from,https://i.ebayimg.com/00/s/MzAwWDE5NQ==/z/bsgAAOSwqNJba17M/$_35.JPG,"$1,380.00",1380,Bachelor/Studio
Large 1 Bedroom + Den incl. parking for Rent in Lower Lonsdale,https://i.ebayimg.com/00/s/NjAwWDgwMA==/z/hoYAAOSwwJ5eEm4v/$_35.JPG,"$2,000.00",2000,1 + Den
"Well managed 1 bedroom at Harbourview available on February 01,",https://i.ebayimg.com/00/s/NjcwWDEyMTA=/z/Oy8AAOSwE4heGD5t/$_35.JPG,"$1,850.00",1850,1
Large 4th Floor Studio/ 1 Bath Apartment in False Creek,https://i.ebayimg.com/00/s/MzE0WDgwMA==/z/N4kAAOSwovJeGJe1/$_35.JPG,"$1,600.00",1600,Bachelor/Studio
Large Garden level 1 Bed / 1 Bath Apartment in False Creek,https://i.ebayimg.com/00/s/NjAwWDgwMA==/z/a1cAAOSwPCFeGI5q/$_35.JPG,"$1,700.00",1700,1
1 Bedroom Apartment in Brentwood for Rent,https://i.ebayimg.com/00/s/MzUwWDgwMA==/z/x8kAAOSwomJeGCU0/$_35.JPG,"$1,900.00",1900,1
Sunny and spacious renovated top level 3 bedroom suite,https://i.ebayimg.com/00/s/ODAwWDUwMA==/z/R0oAAOSwYk5eGBxv/$_35.JPG,"$2,400.00",2400,3
$2100 / 1br - Beautiful Downtown-Studio-Furnished-Wall Centre,https://i.ebayimg.com/00/s/ODAwWDYyNQ==/z/3JsAAOSwVTpeGA51/$_35.JPG,"$2,100.00",2100,1
2br - 845ft2 - Brand new Modern 2 bedroom (North Vancouver),https://i.ebayimg.com/00/s/NjAwWDgwMA==/z/L2QAAOSwCOheF8PX/$_35.JPG,"$2,600.00",2600,2
*BRAND NEW* 2 BEDROOM (3 OPTIONAL) EXTRA LARGE LANEWAY FOR RENT,https://i.ebayimg.com/00/s/ODAwWDQ1MA==/z/I-EAAOSwfiNeF-7M/$_35.JPG,"$2,000.00",2000,2
Large 1 bed/1bath + 2 dens & huge patio condo in Kits,https://i.ebayimg.com/00/s/NjAwWDgwMA==/z/vYQAAOSwm8ZeF8SR/$_35.JPG,"$2,300.00",2300,1 + Den
2 BEDROOM SUITES FOR RENT! LUXURY AMENITIES! NEW WEST!,https://i.ebayimg.com/00/s/MTA2OFgxNjAw/z/qXgAAOSw75BeF4ql/$_35.JPG,"$2,243.00",2243,2
"APARMENT IN RENT, ONE BEDROOM! DOWNTOWN, FULL FURNISHED!!",https://i.ebayimg.com/00/s/NTMzWDgwMA==/z/LLoAAOSwYOxd-7Mz/$_35.JPG,"$1,900.00",1900,1
"1-BR Suite in Quiet, well-maintained Kitsilano heritage house",https://i.ebayimg.com/00/s/NDgwWDY0MA==/z/0csAAOSwevJeGOSj/$_35.JPG,"$1,560.00",1560,1
Studio Rentals in New Westminster! Direct Access to SkyTrain!,https://i.ebayimg.com/00/s/MTA2OFgxNjAw/z/L4kAAOSwrTFeF4qk/$_35.JPG,"$1,603.00",1603,Bachelor/Studio
3 BEDROOM FOR RENT IN NORTH VANCOUVER - TWO MONTHS FREE RENT!,https://i.ebayimg.com/00/s/Njc2WDEwMjQ=/z/o0AAAOSw7iZdxc7C/$_35.JPG,"$3,724.00",3724,3
2 BEDROOM SUITES FOR RENT! LUXURY AMENITIES! NEW WEST!,https://i.ebayimg.com/00/s/MTA2OFgxNjAw/z/qXgAAOSw75BeF4ql/$_35.JPG,"$2,243.00",2243,2
3 Bedrooms for Rent in New West! Amenities! CALL NOW!,https://i.ebayimg.com/00/s/MTA2OFgxNjAw/z/sm8AAOSw4DVeF4qk/$_35.JPG,"$2,945.00",2945,3
"IMMEDIATE MOVE IN - STUDIO, 1 AND 2 BEDROOM FLOOR PLANS",https://i.ebayimg.com/00/s/ODAxWDEyMDA=/z/tKcAAOSwpKtdPDs7/$_35.JPG,"$3,015.00",3015,2
LUXURY 1 BEDROOM FOR RENT! Direct Access to SkyTrain! Pets!,https://i.ebayimg.com/00/s/MTA2OFgxNjAw/z/tG4AAOSw6AxeF4qk/$_35.JPG,"$1,904.00",1904,1
ENGLISH BAY - Beautiful Studio-Like Suite  Available FEB 1st!!,https://i.ebayimg.com/00/s/NTUxWDU5OA==/z/izYAAOSwN~VeD8IH/$_35.JPG,$750.00,750,1
"Large 1bdr apt for February 1st, near UBC.",https://i.ebayimg.com/00/s/NTMzWDgwMA==/z/E3QAAOSwndFeGiO1/$_35.JPG,"$1,875.00",1875,1
DETACHED LANEWAY HOUSE near UBC Dunbar Kitsilano Point Grey,https://i.ebayimg.com/00/s/NDUwWDgwMA==/z/3BUAAOSwgZteGh5k/$_35.JPG,"$2,200.00",2200,1
"Well managed 2 bedrooms at Bay Tower available on February 01, 2",https://i.ebayimg.com/00/s/NjcwWDEyMTA=/z/GP0AAOSwGF5eGY~d/$_35.JPG,"$2,400.00",2400,2
$1900 / 1br - 650ft2 - TOP FLOOR VERY WELL MAINTAINED,https://i.ebayimg.com/00/s/NDgwWDY0MA==/z/-LgAAOSwRBFeGeOs/$_35.JPG,"$1,900.00",1900,1 + Den
Brand New 1 bedroom apartment at Novare in New Westminster!,https://i.ebayimg.com/00/s/Mzk4WDUwMQ==/z/dEUAAOSwerBdSTWH/$_35.JPG,"$1,695.00",1695,1
Stunning 2 bedroom suites at Lynn Creek!,https://i.ebayimg.com/00/s/MzQzWDUyNw==/z/cOkAAOSw6CxdNgnV/$_35.JPG,"$2,280.00",2280,2
Modern 2 bedroom 1 bath apartments in New Westminster!,https://i.ebayimg.com/00/s/NjM4WDExNDA=/z/Aj0AAOSwo5ddTtsU/$_35.JPG,"$2,115.00",2115,2
Gorgeous one Bedroom with view on the border of Yaletown and Gas,https://i.ebayimg.com/00/s/ODAwWDYwMA==/z/LAIAAOSwqMteGWY-/$_35.JPG,"$1,725.00",1725,1
2 bed 2 bath beside metrotown in new building,https://i.ebayimg.com/00/s/NDg0WDgwMA==/z/KTcAAOSwMmJeGmAR/$_35.JPG,"$2,600.00",2600,2
1 Bedroom +den fully furnished Vancouver downtown,https://i.ebayimg.com/00/s/MjY3WDQwMA==/z/R~EAAOSw9-JeGW9P/$_35.JPG,"$1,850.00",1850,1 + Den
Upgraded One Bedroom For Rent at Forte - 1755 West 14th Avenue,https://i.ebayimg.com/00/s/NzY4WDExNTI=/z/lRYAAOSwS89dwo1C/$_35.JPG,"$2,050.00",2050,1
"1-BR Suite in Quiet, well-maintained Kitsilano heritage house",https://i.ebayimg.com/00/s/NDgwWDY0MA==/z/0csAAOSwevJeGOSj/$_35.JPG,"$1,560.00",1560,1
LUXURY 1 BEDROOM FOR RENT! Direct Access to SkyTrain! Pets!,https://i.ebayimg.com/00/s/MTA2OFgxNjAw/z/tG4AAOSw6AxeF4qk/$_35.JPG,"$1,904.00",1904,1
NEWLY RENOVATED 3 BED FOR RENT - SPECIAL PRICING!,https://i.ebayimg.com/00/s/Nzk1WDEyMDA=/z/X-sAAOSwXiVd~PSe/$_35.JPG,"$4,104.00",4104,3
3 BEDROOM FOR RENT IN NORTH VANCOUVER - TWO MONTHS FREE RENT!,https://i.ebayimg.com/00/s/Njc2WDEwMjQ=/z/o0AAAOSw7iZdxc7C/$_35.JPG,"$3,724.00",3724,3
"1 Bdrm apt with large Patio, insuite laundry at Cambie/Broadway",https://i.ebayimg.com/00/s/NDUwWDYwMA==/z/j5kAAOSwkxteGm7m/$_35.JPG,"$1,845.00",1845,1
STUDENTS! Furnished Studio Rentals Minutes from Douglas College!,https://i.ebayimg.com/00/s/ODAyWDEyMDA=/z/VQcAAOSwYpxeF4qi/$_35.JPG,"$1,648.00",1648,Bachelor/Studio
Studio Rentals in New Westminster! Direct Access to SkyTrain!,https://i.ebayimg.com/00/s/MTA2OFgxNjAw/z/L4kAAOSwrTFeF4qk/$_35.JPG,"$1,603.00",1603,Bachelor/Studio
2 BEDROOM SUITES FOR RENT! LUXURY AMENITIES! NEW WEST!,https://i.ebayimg.com/00/s/MTA2OFgxNjAw/z/qXgAAOSw75BeF4ql/$_35.JPG,"$2,243.00",2243,2
3 Bedrooms for Rent in New West! Amenities! CALL NOW!,https://i.ebayimg.com/00/s/MTA2OFgxNjAw/z/sm8AAOSw4DVeF4qk/$_35.JPG,"$2,945.00",2945,3
LUXURY 1 BEDROOM FOR RENT! Direct Access to SkyTrain! Pets!,https://i.ebayimg.com/00/s/MTA2OFgxNjAw/z/tG4AAOSw6AxeF4qk/$_35.JPG,"$1,904.00",1904,1
Stunning 2 bedroom in North Vancouver at The Citadel,https://i.ebayimg.com/00/s/NjY0WDk5Ng==/z/pjsAAOSw2zRcAWeR/$_35.JPG,"$2,300.00",2300,2
Spacious Bright Two Bedroom-English Bay (Cat or Dog),https://i.ebayimg.com/00/s/MTA3MVgxNjAw/z/e3QAAOSwbv9d-z6e/$_35.JPG,"$2,800.00",2800,2
1 bedroom apartment in Metrotown at Horizon Towers,https://i.ebayimg.com/00/s/MzA0WDQwMA==/z/RZQAAOSwUeBdjxPU/$_35.JPG,"$1,660.00",1660,1
Pet-friendly Jr. One Bedroom Suite-$500 Moving Bonus,https://i.ebayimg.com/00/s/MTA3MVgxNjAw/z/3scAAOSwwRRd-z6b/$_35.JPG,"$1,775.00",1775,1
2 bed 2 bath beside metrotown in new building,https://i.ebayimg.com/00/s/NDg0WDgwMA==/z/KTcAAOSwMmJeGmAR/$_35.JPG,"$2,600.00",2600,2
"IMMEDIATE MOVE IN - STUDIO, 1 AND 2 BEDROOM FLOOR PLANS",https://i.ebayimg.com/00/s/ODAxWDEyMDA=/z/tKcAAOSwpKtdPDs7/$_35.JPG,"$3,015.00",3015,2
ENGLISH BAY - Beautiful Studio-Like Suite  Available FEB 1st!!,https://i.ebayimg.com/00/s/NTUxWDU5OA==/z/izYAAOSwN~VeD8IH/$_35.JPG,$750.00,750,1
FURNISHED 2 BDRM - CENTRAL & EASY COMMUTE,https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/LwgAAOSwQjheGkw5/$_35.JPG,"$1,995.00",1995,2
English Bay area,https://i.ebayimg.com/00/s/ODAwWDM4OA==/z/g1AAAOSwEUdeGkH-/$_35.JPG,"$2,099.00",2099,2
